 
'qing'hui'shi 青辉石
'xin'yong'dian 信用点
'ti'li 体力
'shen'ming'wen'zi'sui'pian 神明文字碎片
'zong'li'zhan'bi 总力战币
'da'jue'zhan'bi 大决战币
'zhan'tu'da'sai'bi 战术大赛币
'zhan'tu'kao'shi'bi 战术考试币
'jing'tong'zheng'shu 精通证书
'xuan'shang'tong'ji'bi 悬赏通缉币
'qi'dong'shi 启动石
'zhi'zao'shi 制造石
'qi'dong'shi'sui'pian 启动石碎片
'zhi'zao'shi'sui'pian 制造石碎片
'he'cheng'yong'qi'dong'shi 合成用启动石
'he'cheng'shi 合成石
'ding'xiang'shi 定向石
'huo'dong'bao'gao 活动报告
'jing'yan'shu 经验书
'qiang'hua'zhu 强化珠
'wu'qi'zhu'zi 武器珠子
'tan'huan 弹簧
'zhuan'wu'cai'liao 专武材料
'zhan'tu'bi'ji 战术笔记
'ao'mi'zhi'shu 奥秘之书
'zhuang'bei 装备
'ai'yong'pin 爱用品
'li'wu 礼物
