'jiu'lan'yijin 九蓝一金
'yue'dui 乐队
'ou'xiang 偶像
'yong'zhuang 泳装
'zheng'yue 正月
'ti'cao'fu 体操服
'li'fu 礼服
'yue'tuan 乐团
'xin'nian 新年
'ye'wai'zhan 野外战
'shi'nei'zhan 室内战
'jie'qu'zhan 街区战
'shu'chu 输出
'tan'ke 坦克
'zhi'liao 治疗
'fu'zhu 辅助
'bao'fa 爆发
'guan'chuan 贯穿
'shen'mi 神秘
'zhen'dong 振动
'qing'zhuang'jia 轻装甲
'zhong'zhuang'jia 重装甲
'te'shu'zhuang'jia 特殊装甲
'dan'li'zhuang'jia 弹力装甲
'ti'li 体力
'gong'ji'li 攻击力
'fang'yv'li 防御力
'zhi'liao'li 治疗力
'ming'zhong'zhi 命中值
'shan'bi'zhi 闪避值
'bao'ji'zhi 暴击值
'bao'ji'shang'harm 暴击伤害
'fang'yv'guan'chuan'zhi 防御贯穿值
'wen'ding'zhi 稳定值
'pu'tong'gong'ji'she'cheng 普通攻击射程
'xu'neng'zhi'hui'fu 蓄能值恢复力
'qun'kong'qiang'hua 群控强化
'qun'kong'di'kang 群控抵抗
'bi'sha'ji'neng 必杀技能
'ji'chu'ji'neng 基础技能
'bei'dong'ji'neng 被动技能
'fu'zhu'ji'neng 辅助技能
'bi'na 比纳
'qie'sai'de 切赛德
'bai'hei 白黑
'xi'luo'ni'mu'si 希罗尼穆斯
'pei'luo'luo'si'la 佩洛洛斯拉
'hui'zhuan'zhe 回转者
'hui'zhuan 回转
'huo'de 霍德
'ge'zi 格兹
'e'wo'lve 额我略
'mu'zhu'shi 母猪石
'chi'jing 吃井
'yi'dan 一单
'zhuan'wu 专武
'ai'yong'pin 爱用品
'shui 水
'chun 春
'ti 体
'li 礼
'jing 井
'mu 母
