'lian'bang'xue'sheng'hui 联邦学生会
'a'bai'duo'si 阿拜多斯
'ge'hei'na 格黑娜
'ge'he'na 歌赫娜
'san'yi 三一
'sheng'san'yi 圣三一
'cui'ni'di 崔尼蒂
'qian'nian 千年
'qian'xi'nian 千禧年
'bai'gui'ye'xing 百鬼夜行
'shan'hai'jing 山海经
'chi'dong 赤冬
'a'li'wu'si 阿里乌斯
'wa'er'ji'li 瓦尔基里
'nv'wu'shen 女武神
'ke'luo'lu'si 克洛卢斯
'ao'de'sai 奥德赛
'shu'mi'hui 数秘会
'dui'ce'wei'yuan'hui 对策委员会
'qing'dian'shi'wu'ju 庆典事务局
'a'bai'duo'si'li'shi'hui 阿拜多斯理事会
'feng'ji'wei'yuan'hui 风纪委员会
'bian'li'wu 便利屋
'mei'shi'yan'jiu'hui 美食研究会
'wan'mo'dian 万魔殿
'gong'can'bu 供餐部
'wen'quan'kai'fa'bu 温泉开发部
'ji'jiu'yi'xue'bu 急救医学部
'hui'jia'bu 回家部
'cha'hua'hui 茶话会
'tian'dian'bu 甜点部
'zheng'yi'shi'xian'bu 正义实现部
'bu'xi'bu 补习部
'jie'mei'hui 姐妹会
'jiu'hu'qi'shi'tuan 救护骑士团
'yan'tao'hui 研讨会
'nv'pu'bu 女仆部
'zhen'li'she 真理社
'you'xi'ka'fa'bu 游戏开发部
'gong'cheng'bu 工程部
'chao'zi'ran'xiang'xiang'diao'cha'bu 超自然现象调查部
'jian'shen'bu 健身部
'yin'yang'bu 阴阳部
'ren'shu'yan'jiu'bu 忍术研究部
'xiu'xing'bu 修行部
'bai'hua'liao'luan'jiu'fen'diao'jie'wei'yuan'hui 百花缭乱纠纷调解委员会
'qing'dian'yun'ying'guan'li'bu 庆典运营管理部
